date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:52:50	29782/29782	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Apr%202023%2017:53:51%20GMT	https://www.epfundao.edu.pt/modulo/11/1	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/modulo/11/1.html	(from https://www.epfundao.edu.pt/course/1)
17:52:50	29640/29640	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Apr%202023%2017:53:52%20GMT	https://www.epfundao.edu.pt/modulo/12/1	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/modulo/12/1.html	(from https://www.epfundao.edu.pt/course/1)
17:52:51	17919/17919	---M--	404	error ('NOT%20FOUND')	text/html	date:Sun,%2030%20Apr%202023%2017:53:52%20GMT	https://www.epfundao.edu.pt/course/https//www.twiter.com/epf	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/course/https/www.twiter.com/epf	(from https://www.epfundao.edu.pt/course/1)
17:52:51	61467/61467	---M--	200	added ('OK')	image/jpeg	etag:%222c19684bd5fd851448b7e43a7b635709%22	https://www.epfundao.edu.pt/web/image/op.course/2/image?unique=237db18	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/web/image/op.course/2/imageb46e.jpg	(from https://www.epfundao.edu.pt/course/2)
17:52:52	31076/31076	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Apr%202023%2017:53:53%20GMT	https://www.epfundao.edu.pt/modulo/1/2	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/modulo/1/2.html	(from https://www.epfundao.edu.pt/course/2)
17:52:52	30645/30645	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Apr%202023%2017:53:54%20GMT	https://www.epfundao.edu.pt/modulo/2/2	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/modulo/2/2.html	(from https://www.epfundao.edu.pt/course/2)
17:52:52	30603/30603	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Apr%202023%2017:53:54%20GMT	https://www.epfundao.edu.pt/modulo/13/2	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/modulo/13/2.html	(from https://www.epfundao.edu.pt/course/2)
17:52:53	31098/31098	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Apr%202023%2017:53:55%20GMT	https://www.epfundao.edu.pt/modulo/4/2	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/modulo/4/2.html	(from https://www.epfundao.edu.pt/course/2)
17:52:53	30959/30959	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Apr%202023%2017:53:55%20GMT	https://www.epfundao.edu.pt/modulo/5/2	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/modulo/5/2.html	(from https://www.epfundao.edu.pt/course/2)
17:52:54	30424/30424	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Apr%202023%2017:53:55%20GMT	https://www.epfundao.edu.pt/modulo/3/2	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/modulo/3/2.html	(from https://www.epfundao.edu.pt/course/2)
17:52:54	30214/30214	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Apr%202023%2017:53:56%20GMT	https://www.epfundao.edu.pt/modulo/14/2	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/modulo/14/2.html	(from https://www.epfundao.edu.pt/course/2)
17:52:54	30742/30742	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Apr%202023%2017:53:56%20GMT	https://www.epfundao.edu.pt/modulo/7/2	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/modulo/7/2.html	(from https://www.epfundao.edu.pt/course/2)
17:52:55	30445/30445	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Apr%202023%2017:53:57%20GMT	https://www.epfundao.edu.pt/modulo/28/2	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/modulo/28/2.html	(from https://www.epfundao.edu.pt/course/2)
17:52:55	30238/30238	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Apr%202023%2017:53:57%20GMT	https://www.epfundao.edu.pt/modulo/12/2	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/modulo/12/2.html	(from https://www.epfundao.edu.pt/course/2)
17:52:56	30226/30226	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Apr%202023%2017:53:57%20GMT	https://www.epfundao.edu.pt/modulo/100/2	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/modulo/100/2.html	(from https://www.epfundao.edu.pt/course/2)
17:52:56	30231/30231	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Apr%202023%2017:53:58%20GMT	https://www.epfundao.edu.pt/modulo/96/2	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/modulo/96/2.html	(from https://www.epfundao.edu.pt/course/2)
17:52:56	30237/30237	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Apr%202023%2017:53:58%20GMT	https://www.epfundao.edu.pt/modulo/75/2	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/modulo/75/2.html	(from https://www.epfundao.edu.pt/course/2)
17:52:57	31615/31615	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Apr%202023%2017:53:59%20GMT	https://www.epfundao.edu.pt/modulo/33/2	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/modulo/33/2.html	(from https://www.epfundao.edu.pt/course/2)
17:52:58	30463/30463	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Apr%202023%2017:53:59%20GMT	https://www.epfundao.edu.pt/modulo/29/2	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/modulo/29/2.html	(from https://www.epfundao.edu.pt/course/2)
17:52:58	102570/102570	---M--	200	added ('OK')	image/jpeg	etag:%2222fe5b2b031d362f7d9b57fb9f4e8ee3%22	https://www.epfundao.edu.pt/web/image/op.course/4/image?unique=e4c0567	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/web/image/op.course/4/image306c.jpg	(from https://www.epfundao.edu.pt/course/4)
17:52:58	31070/31070	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Apr%202023%2017:54:00%20GMT	https://www.epfundao.edu.pt/modulo/1/4	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/modulo/1/4.html	(from https://www.epfundao.edu.pt/course/4)
17:52:59	30639/30639	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Apr%202023%2017:54:01%20GMT	https://www.epfundao.edu.pt/modulo/2/4	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/modulo/2/4.html	(from https://www.epfundao.edu.pt/course/4)
17:52:59	30597/30597	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Apr%202023%2017:54:01%20GMT	https://www.epfundao.edu.pt/modulo/13/4	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/modulo/13/4.html	(from https://www.epfundao.edu.pt/course/4)
17:53:00	31092/31092	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Apr%202023%2017:54:01%20GMT	https://www.epfundao.edu.pt/modulo/4/4	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/modulo/4/4.html	(from https://www.epfundao.edu.pt/course/4)
17:53:00	30953/30953	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Apr%202023%2017:54:02%20GMT	https://www.epfundao.edu.pt/modulo/5/4	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/modulo/5/4.html	(from https://www.epfundao.edu.pt/course/4)
17:53:01	30418/30418	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Apr%202023%2017:54:03%20GMT	https://www.epfundao.edu.pt/modulo/3/4	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/modulo/3/4.html	(from https://www.epfundao.edu.pt/course/4)
17:53:01	30208/30208	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Apr%202023%2017:54:03%20GMT	https://www.epfundao.edu.pt/modulo/14/4	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/modulo/14/4.html	(from https://www.epfundao.edu.pt/course/4)
17:53:02	30736/30736	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Apr%202023%2017:54:03%20GMT	https://www.epfundao.edu.pt/modulo/7/4	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/modulo/7/4.html	(from https://www.epfundao.edu.pt/course/4)
17:53:02	30439/30439	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Apr%202023%2017:54:04%20GMT	https://www.epfundao.edu.pt/modulo/28/4	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/modulo/28/4.html	(from https://www.epfundao.edu.pt/course/4)
17:53:02	30232/30232	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Apr%202023%2017:54:04%20GMT	https://www.epfundao.edu.pt/modulo/12/4	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/modulo/12/4.html	(from https://www.epfundao.edu.pt/course/4)
17:53:03	30220/30220	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Apr%202023%2017:54:05%20GMT	https://www.epfundao.edu.pt/modulo/100/4	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/modulo/100/4.html	(from https://www.epfundao.edu.pt/course/4)
17:53:03	30225/30225	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Apr%202023%2017:54:05%20GMT	https://www.epfundao.edu.pt/modulo/96/4	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/modulo/96/4.html	(from https://www.epfundao.edu.pt/course/4)
17:53:04	30231/30231	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Apr%202023%2017:54:05%20GMT	https://www.epfundao.edu.pt/modulo/75/4	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/modulo/75/4.html	(from https://www.epfundao.edu.pt/course/4)
